login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
ferrine,ferrine/Bayesian-Modelling-in-Python,2016-08-21T20:12:55Z,0,0,Jupyter Notebook,True,True,
vslinko,vslinko/redux-vstack-router,2015-07-30T10:17:42Z,1,1,JavaScript,True,True,mit
igorsimdyanov,igorsimdyanov/nginx-lua-redis,2017-06-21T11:25:51Z,3,3,Nginx,True,True,
Maks00071,Maks00071/Python_DPO_2022,2022-05-17T09:19:47Z,2,2,,True,True,
mgrachev,mgrachev/capybara-rspec-remote-template,2014-04-08T07:10:21Z,1,1,Ruby,True,True,
dfilatov,dfilatov/jemplate,2010-04-02T19:44:24Z,1,1,JavaScript,True,True,
ivmai,ivmai/jadretro,2012-04-05T09:28:38Z,7,7,Java,True,False,
true-grue,true-grue/tiny_pluck,2013-08-28T17:42:56Z,11,11,C,True,True,
artbear,artbear/gherkin-autocomplete,2018-09-29T12:48:10Z,1,1,TypeScript,True,True,mit
disintegration,disintegration/quiet,2013-12-29T00:14:51Z,47,47,Go,True,True,
n4kz,n4kz/meepo,2012-07-29T11:35:46Z,2,2,Perl,True,False,
autowp,autowp/Peugoid,2014-08-21T22:02:25Z,6,6,Java,True,True,
AleksandraAleksandrovna,AleksandraAleksandrovna/Coca-Cola-popular-drink,2020-08-01T14:55:22Z,1,1,,True,True,
smelukov,smelukov/VarScanner,2014-08-09T21:56:55Z,1,1,PHP,True,True,
epogrebnyak,epogrebnyak/LNG,2020-09-11T18:18:30Z,0,0,,True,True,
Wohlstand,Wohlstand/smbx-npc-editor-2,2014-09-07T15:17:11Z,0,0,C#,True,True,
anton-k,anton-k/cbuzz-patcher,2012-05-10T13:07:36Z,0,0,C,True,True,
arkuznetsov,arkuznetsov/ReadParams,2017-08-17T20:38:07Z,0,0,1C Enterprise,True,True,mit
glebmachine,glebmachine/pixi.js,2015-12-11T17:32:21Z,0,0,JavaScript,True,True,mit
rvasily,rvasily/protobuf-perl-experimental,2017-01-10T10:08:03Z,0,0,Perl,True,True,
Infarh,Infarh/IntroOOP_22_01,2022-01-13T16:31:31Z,0,0,C#,True,True,
kefirski,kefirski/nlp-datasets,2017-07-25T21:47:45Z,0,0,,True,True,
worldbeater,worldbeater/umap,2021-12-13T20:48:33Z,0,0,Python,False,False,bsd-3-clause
Bulat-Ziganshin,Bulat-Ziganshin/ProcProfile,2014-03-21T21:47:16Z,0,0,C,True,True,unlicense
kobezzza,kobezzza/SweetHelpers,2015-07-28T07:15:17Z,0,0,JavaScript,True,False,mit
matyha345,matyha345/HaarBarbershop2,2023-04-27T21:03:52Z,0,0,HTML,True,True,
qnikst,qnikst/syn-launch,2013-01-30T13:53:25Z,1,1,Haskell,True,True,other
lRomul,lRomul/neural-network-eigen,2015-12-07T15:34:26Z,2,2,C++,True,True,
VBart,lRomul/neural-network-eigen,2015-12-07T15:34:26Z,2,2,C++,True,True,
K900,K900/intel_iot,2015-06-11T13:12:49Z,0,0,Python,True,True,mit
miracl1e6,miracl1e6/DA_and_ML_Python,2019-05-26T16:57:22Z,0,0,Jupyter Notebook,True,True,
reo7sp,reo7sp/worldguard,2013-02-14T10:38:00Z,0,0,Java,True,False,other
deepfire,deepfire/gamesim,2016-11-26T22:43:01Z,1,1,Haskell,True,True,
foxcpp,foxcpp/ttyprompt,2018-04-12T14:39:13Z,5,5,Go,False,False,mit
3F,3F/tortoisegit-mdc,2013-12-05T13:37:30Z,0,0,C++,True,False,
